,line,code,description,date,ADVANCE,SECOND,THIRD,current,adv_less_second,adv_less_third,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_adv_less_current,abs_third_less_current,year,month,date_t
834,27,B935RY2,          Computers and peripheral equipment,2004_Q1,0.12,0.08,0.08,-0.05,0.039999999999999994,0.039999999999999994,0.0,0.039999999999999994,0.039999999999999994,0.0,0.039999999999999994,0.16999999999999998,0.13,2004,1,2004-01-01
835,27,B935RY2,          Computers and peripheral equipment,2004_Q2,0.22,0.22,0.22,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.14,0.14,2004,4,2004-04-01
836,27,B935RY2,          Computers and peripheral equipment,2004_Q3,0.08,0.18,0.18,0.11,-0.09999999999999999,-0.09999999999999999,0.0,0.09999999999999999,0.09999999999999999,0.0,0.04666666666666666,0.03,0.06999999999999999,2004,7,2004-07-01
837,27,B935RY2,          Computers and peripheral equipment,2004_Q4,0.39,0.41,0.41,0.14,-0.019999999999999962,-0.019999999999999962,0.0,0.019999999999999962,0.019999999999999962,0.0,0.03999999999999999,0.25,0.26999999999999996,2004,10,2004-10-01
838,27,B935RY2,          Computers and peripheral equipment,2005_Q1,0.41,0.42,0.41,-0.06,-0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.03199999999999999,0.47,0.47,2005,1,2005-01-01
839,27,B935RY2,          Computers and peripheral equipment,2005_Q2,0.3,0.23,0.23,0.08,0.06999999999999998,0.06999999999999998,0.0,0.06999999999999998,0.06999999999999998,0.0,0.03833333333333332,0.21999999999999997,0.15000000000000002,2005,4,2005-04-01
840,27,B935RY2,          Computers and peripheral equipment,2005_Q3,0.1,0.1,0.11,0.11,0.0,-0.009999999999999995,-0.009999999999999995,0.0,0.009999999999999995,0.009999999999999995,0.034285714285714274,0.009999999999999995,0.0,2005,7,2005-07-01
841,27,B935RY2,          Computers and peripheral equipment,2005_Q4,0.26,0.28,0.28,0.18,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,0.020000000000000018,0.0,0.032499999999999994,0.08000000000000002,0.10000000000000003,2005,10,2005-10-01
842,27,B935RY2,          Computers and peripheral equipment,2006_Q1,0.12,0.13,0.14,0.16,-0.010000000000000009,-0.020000000000000018,-0.010000000000000009,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.03,0.04000000000000001,0.01999999999999999,2006,1,2006-01-01
843,27,B935RY2,          Computers and peripheral equipment,2006_Q2,0.04,0.03,0.03,0.1,0.010000000000000002,0.010000000000000002,0.0,0.010000000000000002,0.010000000000000002,0.0,0.03125,0.060000000000000005,0.07,2006,4,2006-04-01
844,27,B935RY2,          Computers and peripheral equipment,2006_Q3,0.14,0.15,0.13,0.17,-0.009999999999999981,0.010000000000000009,0.01999999999999999,0.009999999999999981,0.010000000000000009,0.01999999999999999,0.020000000000000004,0.03,0.04000000000000001,2006,7,2006-07-01
845,27,B935RY2,          Computers and peripheral equipment,2006_Q4,0.05,0.01,0.0,0.01,0.04,0.05,0.01,0.04,0.05,0.01,0.023750000000000007,0.04,0.01,2006,10,2006-10-01
846,27,B935RY2,          Computers and peripheral equipment,2007_Q1,0.28,0.26,0.26,0.14,0.020000000000000018,0.020000000000000018,0.0,0.020000000000000018,0.020000000000000018,0.0,0.02625000000000001,0.14,0.12,2007,1,2007-01-01
847,27,B935RY2,          Computers and peripheral equipment,2007_Q2,0.03,0.08,0.08,-0.04,-0.05,-0.05,0.0,0.05,0.05,0.0,0.02375000000000001,0.07,0.12,2007,4,2007-04-01
848,27,B935RY2,          Computers and peripheral equipment,2007_Q3,0.07,0.08,0.08,0.09,-0.009999999999999995,-0.009999999999999995,0.0,0.009999999999999995,0.009999999999999995,0.0,0.023750000000000007,0.01999999999999999,0.009999999999999995,2007,7,2007-07-01
849,27,B935RY2,          Computers and peripheral equipment,2007_Q4,0.14,0.2,0.2,0.16,-0.06,-0.06,0.0,0.06,0.06,0.0,0.028750000000000005,0.01999999999999999,0.04000000000000001,2007,10,2007-10-01
850,27,B935RY2,          Computers and peripheral equipment,2008_Q1,0.12,0.11,0.12,0.11,0.009999999999999995,0.0,-0.009999999999999995,0.009999999999999995,0.0,0.009999999999999995,0.026250000000000002,0.009999999999999995,0.009999999999999995,2008,1,2008-01-01
851,27,B935RY2,          Computers and peripheral equipment,2008_Q2,0.08,0.06,0.08,0.03,0.020000000000000004,0.0,-0.020000000000000004,0.020000000000000004,0.0,0.020000000000000004,0.025,0.05,0.05,2008,4,2008-04-01
852,27,B935RY2,          Computers and peripheral equipment,2008_Q3,-0.08,-0.13,-0.16,-0.16,0.05,0.08,0.03,0.05,0.08,0.03,0.03375,0.08,0.0,2008,7,2008-07-01
853,27,B935RY2,          Computers and peripheral equipment,2008_Q4,-0.21,-0.26,-0.28,-0.2,0.05000000000000002,0.07000000000000003,0.020000000000000018,0.05000000000000002,0.07000000000000003,0.020000000000000018,0.03625000000000001,0.009999999999999981,0.08000000000000002,2008,10,2008-10-01
854,27,B935RY2,          Computers and peripheral equipment,2009_Q1,-0.1,-0.07,-0.06,0.03,-0.03,-0.04000000000000001,-0.010000000000000009,0.03,0.04000000000000001,0.010000000000000009,0.03875000000000001,0.13,0.09,2009,1,2009-01-01
1036,32,B935RY2,          Computers and peripheral equipment,2009_Q2,0.02,0.07,0.08,0.1,-0.05,-0.06,-0.009999999999999995,0.05,0.06,0.009999999999999995,0.04000000000000001,0.08,0.020000000000000004,2009,4,2009-04-01
1037,32,B935RY2,          Computers and peripheral equipment,2009_Q3,0.01,0.0,0.05,0.12,0.01,-0.04,-0.05,0.01,0.04,0.05,0.043750000000000004,0.11,0.06999999999999999,2009,7,2009-07-01
1038,32,B935RY2,          Computers and peripheral equipment,2009_Q4,0.33,0.36,0.37,0.25,-0.02999999999999997,-0.03999999999999998,-0.010000000000000009,0.02999999999999997,0.03999999999999998,0.010000000000000009,0.04125,0.08000000000000002,0.12,2009,10,2009-10-01
1039,32,B935RY2,          Computers and peripheral equipment,2010_Q1,0.15,0.05,0.02,0.03,0.09999999999999999,0.13,0.030000000000000002,0.09999999999999999,0.13,0.030000000000000002,0.0575,0.12,0.009999999999999998,2010,1,2010-01-01
1040,32,B935RY2,          Computers and peripheral equipment,2010_Q2,0.27,0.24,0.24,-0.03,0.030000000000000027,0.030000000000000027,0.0,0.030000000000000027,0.030000000000000027,0.0,0.061250000000000006,0.30000000000000004,0.27,2010,4,2010-04-01
1041,32,B935RY2,          Computers and peripheral equipment,2010_Q3,-0.03,-0.02,0.01,-0.09,-0.009999999999999998,-0.04,-0.03,0.009999999999999998,0.04,0.03,0.05625,0.06,0.09999999999999999,2010,7,2010-07-01
1042,32,B935RY2,          Computers and peripheral equipment,2010_Q4,0.18,0.11,0.16,-0.03,0.06999999999999999,0.01999999999999999,-0.05,0.06999999999999999,0.01999999999999999,0.05,0.04999999999999999,0.21,0.19,2010,10,2010-10-01
1043,32,B935RY2,          Computers and peripheral equipment,2011_Q1,-0.06,-0.04,-0.04,-0.11,-0.019999999999999997,-0.019999999999999997,0.0,0.019999999999999997,0.019999999999999997,0.0,0.04749999999999999,0.05,0.07,2011,1,2011-01-01
1044,32,B935RY2,          Computers and peripheral equipment,2011_Q2,0.32,0.3,0.27,0.16,0.020000000000000018,0.04999999999999999,0.02999999999999997,0.020000000000000018,0.04999999999999999,0.02999999999999997,0.046249999999999986,0.16,0.11000000000000001,2011,4,2011-04-01
1045,32,B935RY2,          Computers and peripheral equipment,2011_Q3,0.1,0.09,0.08,0.08,0.010000000000000009,0.020000000000000004,0.009999999999999995,0.010000000000000009,0.020000000000000004,0.009999999999999995,0.04374999999999999,0.020000000000000004,0.0,2011,7,2011-07-01
1046,32,B935RY2,          Computers and peripheral equipment,2011_Q4,0.15,0.1,0.1,-0.05,0.04999999999999999,0.04999999999999999,0.0,0.04999999999999999,0.04999999999999999,0.0,0.04499999999999999,0.2,0.15000000000000002,2011,10,2011-10-01
1047,32,B935RY2,          Computers and peripheral equipment,2012_Q1,-0.12,-0.02,-0.01,0.14,-0.09999999999999999,-0.11,-0.01,0.09999999999999999,0.11,0.01,0.04249999999999999,0.26,0.15000000000000002,2012,1,2012-01-01
1048,32,B935RY2,          Computers and peripheral equipment,2012_Q2,-0.03,-0.11,-0.12,-0.05,0.08,0.09,0.009999999999999995,0.08,0.09,0.009999999999999995,0.04999999999999999,0.020000000000000004,0.06999999999999999,2012,4,2012-04-01
1049,32,B935RY2,          Computers and peripheral equipment,2012_Q3,-0.13,-0.19,-0.19,-0.13,0.06,0.06,0.0,0.06,0.06,0.0,0.05249999999999999,0.0,0.06,2012,7,2012-07-01
1050,32,B935RY2,          Computers and peripheral equipment,2012_Q4,0.31,0.26,0.27,0.17,0.04999999999999999,0.03999999999999998,-0.010000000000000009,0.04999999999999999,0.03999999999999998,0.010000000000000009,0.05499999999999999,0.13999999999999999,0.1,2012,10,2012-10-01
1051,32,B935RY2,          Computers and peripheral equipment,2013_Q1,0.03,-0.08,-0.07,0.06,0.11,0.1,-0.009999999999999995,0.11,0.1,0.009999999999999995,0.06499999999999999,0.03,0.13,2013,1,2013-01-01
1052,32,B935RY2,          Computers and peripheral equipment,2013_Q2,-0.04,-0.07,-0.08,-0.08,0.030000000000000006,0.04,0.009999999999999995,0.030000000000000006,0.04,0.009999999999999995,0.06375,0.04,0.0,2013,4,2013-04-01
1053,32,B935RY2,          Computers and peripheral equipment,2013_Q3,-0.01,0.01,0.01,0.05,-0.02,-0.02,0.0,0.02,0.02,0.0,0.06375,0.060000000000000005,0.04,2013,7,2013-07-01
1054,32,B935RY2,          Computers and peripheral equipment,2013_Q4,0.09,0.13,0.13,0.05,-0.04000000000000001,-0.04000000000000001,0.0,0.04000000000000001,0.04000000000000001,0.0,0.0625,0.039999999999999994,0.08,2013,10,2013-10-01
1055,32,B935RY2,          Computers and peripheral equipment,2014_Q1,-0.22,-0.23,-0.23,-0.14,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.0,0.05,0.07999999999999999,0.09,2014,1,2014-01-01
1056,32,B935RY2,          Computers and peripheral equipment,2014_Q2,0.03,0.1,0.1,0.05,-0.07,-0.07,0.0,0.07,0.07,0.0,0.0475,0.020000000000000004,0.05,2014,4,2014-04-01
1057,32,B935RY2,          Computers and peripheral equipment,2014_Q3,0.03,0.04,0.05,0.02,-0.010000000000000002,-0.020000000000000004,-0.010000000000000002,0.010000000000000002,0.020000000000000004,0.010000000000000002,0.0425,0.009999999999999998,0.030000000000000002,2014,7,2014-07-01
1058,32,B935RY2,          Computers and peripheral equipment,2014_Q4,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,0.0,0.01,0.01,0.0,0.03875000000000001,0.0,0.01,2014,10,2014-10-01
1059,32,B935RY2,          Computers and peripheral equipment,2015_Q1,-0.14,-0.16,-0.16,-0.1,0.01999999999999999,0.01999999999999999,0.0,0.01999999999999999,0.01999999999999999,0.0,0.028750000000000008,0.04000000000000001,0.06,2015,1,2015-01-01
1060,32,B935RY2,          Computers and peripheral equipment,2015_Q2,0.08,0.1,0.11,0.11,-0.020000000000000004,-0.03,-0.009999999999999995,0.020000000000000004,0.03,0.009999999999999995,0.027500000000000007,0.03,0.0,2015,4,2015-04-01
1061,32,B935RY2,          Computers and peripheral equipment,2015_Q3,0.02,0.08,0.08,0.08,-0.06,-0.06,0.0,0.06,0.06,0.0,0.0325,0.06,0.0,2015,7,2015-07-01
1062,32,B935RY2,          Computers and peripheral equipment,2015_Q4,-0.11,-0.16,-0.16,-0.16,0.05,0.05,0.0,0.05,0.05,0.0,0.03375,0.05,0.0,2015,10,2015-10-01
