,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,abs_adv,abs_second,abs_third,second_less_adv,third_less_adv,current_less_adv,third_less_second,abs_second_less_adv,abs_third_less_adv,abs_third_less_second,abs_two_year,abs_current,abs_current_less_adv,abs_current_less_third,year,month,date_t
1015,32,A862RY2,        Other equipment,2004_Q1,0.15,0.14,0.14,-0.04,0.15,0.14,0.14,-0.01,-0.01,-0.19,0.0,0.01,0.01,0.0,0.01,0.04,0.19,0.18,2004,1,2004-01-01
1016,32,A862RY2,        Other equipment,2004_Q2,0.12,0.19,0.2,0.13,0.12,0.19,0.2,0.07,0.08,0.01,0.01,0.07,0.08,0.01,0.045,0.13,0.01,0.07,2004,4,2004-04-01
1017,32,A862RY2,        Other equipment,2004_Q3,0.3,0.28,0.28,0.19,0.3,0.28,0.28,-0.02,-0.02,-0.11,0.0,0.02,0.02,0.0,0.0367,0.19,0.11,0.09,2004,7,2004-07-01
1018,32,A862RY2,        Other equipment,2004_Q4,0.16,0.15,0.16,0.12,0.16,0.15,0.16,-0.01,0.0,-0.04,0.01,0.01,0.0,0.01,0.0275,0.12,0.04,0.04,2004,10,2004-10-01
1019,32,A862RY2,        Other equipment,2005_Q1,-0.1,-0.16,-0.16,0.1,0.1,0.16,0.16,-0.06,-0.06,0.2,0.0,0.06,0.06,0.0,0.034,0.1,0.2,0.26,2005,1,2005-01-01
1020,32,A862RY2,        Other equipment,2005_Q2,0.2,0.23,0.23,0.23,0.2,0.23,0.23,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0333,0.23,0.03,0.0,2005,4,2005-04-01
1021,32,A862RY2,        Other equipment,2005_Q3,-0.04,0.01,0.02,0.02,0.04,0.01,0.02,0.05,0.06,0.06,0.01,0.05,0.06,0.01,0.0371,0.02,0.06,0.0,2005,7,2005-07-01
1022,32,A862RY2,        Other equipment,2005_Q4,0.07,0.1,0.1,0.05,0.07,0.1,0.1,0.03,0.03,-0.02,0.0,0.03,0.03,0.0,0.0363,0.05,0.02,0.05,2005,10,2005-10-01
1023,32,A862RY2,        Other equipment,2006_Q1,0.1,0.06,0.05,0.19,0.1,0.06,0.05,-0.04,-0.05,0.09,-0.01,0.04,0.05,0.01,0.0412,0.19,0.09,0.14,2006,1,2006-01-01
1024,32,A862RY2,        Other equipment,2006_Q2,0.13,0.09,0.09,-0.01,0.13,0.09,0.09,-0.04,-0.04,-0.14,0.0,0.04,0.04,0.0,0.0362,0.01,0.14,0.1,2006,4,2006-04-01
1025,32,A862RY2,        Other equipment,2006_Q3,0.05,0.05,0.05,-0.11,0.05,0.05,0.05,0.0,0.0,-0.16,0.0,0.0,0.0,0.0,0.0337,0.11,0.16,0.16,2006,7,2006-07-01
1026,32,A862RY2,        Other equipment,2006_Q4,-0.01,-0.01,-0.01,0.02,0.01,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0337,0.02,0.03,0.03,2006,10,2006-10-01
1027,32,A862RY2,        Other equipment,2007_Q1,-0.26,-0.31,-0.31,-0.12,0.26,0.31,0.31,-0.05,-0.05,0.14,0.0,0.05,0.05,0.0,0.0325,0.12,0.14,0.19,2007,1,2007-01-01
1028,32,A862RY2,        Other equipment,2007_Q2,0.09,0.11,0.11,0.16,0.09,0.11,0.11,0.02,0.02,0.07,0.0,0.02,0.02,0.0,0.0312,0.16,0.07,0.05,2007,4,2007-04-01
1029,32,A862RY2,        Other equipment,2007_Q3,0.07,0.07,0.07,-0.04,0.07,0.07,0.07,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0237,0.04,0.11,0.11,2007,7,2007-07-01
1030,32,A862RY2,        Other equipment,2007_Q4,0.13,0.08,0.08,-0.02,0.13,0.08,0.08,-0.05,-0.05,-0.15,0.0,0.05,0.05,0.0,0.0262,0.02,0.15,0.1,2007,10,2007-10-01
1031,32,A862RY2,        Other equipment,2008_Q1,-0.18,-0.16,-0.16,-0.16,0.18,0.16,0.16,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.0225,0.16,0.02,0.0,2008,1,2008-01-01
1032,32,A862RY2,        Other equipment,2008_Q2,-0.07,-0.04,-0.04,0.01,0.07,0.04,0.04,0.03,0.03,0.08,0.0,0.03,0.03,0.0,0.0212,0.01,0.08,0.05,2008,4,2008-04-01
1033,32,A862RY2,        Other equipment,2008_Q3,0.2,0.2,0.2,-0.03,0.2,0.2,0.2,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0212,0.03,0.23,0.23,2008,7,2008-07-01
1034,32,A862RY2,        Other equipment,2008_Q4,-0.33,-0.31,-0.31,-0.47,0.33,0.31,0.31,0.02,0.02,-0.14,0.0,0.02,0.02,0.0,0.0237,0.47,0.14,0.16,2008,10,2008-10-01
1035,32,A862RY2,        Other equipment,2009_Q1,-0.5,-0.46,-0.46,-0.39,0.5,0.46,0.46,0.04,0.04,0.11,0.0,0.04,0.04,0.0,0.0225,0.39,0.11,0.07,2009,1,2009-01-01
1276,37,A862RY2,        Other equipment,2009_Q2,-0.39,-0.43,-0.42,-0.37,0.39,0.43,0.42,-0.04,-0.03,0.02,0.01,0.04,0.03,0.01,0.0462,0.37,0.02,0.05,2009,4,2009-04-01
1277,37,A862RY2,        Other equipment,2009_Q3,-0.16,-0.13,-0.12,-0.16,0.16,0.13,0.12,0.03,0.04,0.0,0.01,0.03,0.04,0.01,0.0475,0.16,0.0,0.04,2009,7,2009-07-01
1278,37,A862RY2,        Other equipment,2009_Q4,-0.07,-0.03,-0.03,-0.05,0.07,0.03,0.03,0.04,0.04,0.02,0.0,0.04,0.04,0.0,0.0475,0.05,0.02,0.02,2009,10,2009-10-01
1279,37,A862RY2,        Other equipment,2010_Q1,0.26,0.3,0.3,0.34,0.26,0.3,0.3,0.04,0.04,0.08,0.0,0.04,0.04,0.0,0.0475,0.34,0.08,0.04,2010,1,2010-01-01
1280,37,A862RY2,        Other equipment,2010_Q2,0.1,0.18,0.17,0.19,0.1,0.18,0.17,0.08,0.07,0.09,-0.01,0.08,0.07,0.01,0.035,0.19,0.09,0.02,2010,4,2010-04-01
1281,37,A862RY2,        Other equipment,2010_Q3,0.23,0.2,0.2,0.12,0.23,0.2,0.2,-0.03,-0.03,-0.11,0.0,0.03,0.03,0.0,0.035,0.12,0.11,0.08,2010,7,2010-07-01
1282,37,A862RY2,        Other equipment,2010_Q4,0.04,0.07,0.07,0.16,0.04,0.07,0.07,0.03,0.03,0.12,0.0,0.03,0.03,0.0,0.0362,0.16,0.12,0.09,2010,10,2010-10-01
1283,37,A862RY2,        Other equipment,2011_Q1,0.18,0.11,0.11,0.16,0.18,0.11,0.11,-0.07,-0.07,-0.02,0.0,0.07,0.07,0.0,0.0437,0.16,0.02,0.05,2011,1,2011-01-01
1284,37,A862RY2,        Other equipment,2011_Q2,-0.05,0.0,-0.01,0.02,0.05,0.0,0.01,0.05,0.04,0.07,-0.01,0.05,0.04,0.01,0.045,0.02,0.07,0.03,2011,4,2011-04-01
1285,37,A862RY2,        Other equipment,2011_Q3,0.42,0.42,0.42,0.36,0.42,0.42,0.42,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.04,0.36,0.06,0.06,2011,7,2011-07-01
1286,37,A862RY2,        Other equipment,2011_Q4,-0.17,-0.2,-0.21,-0.25,0.17,0.2,0.21,-0.03,-0.04,-0.08,-0.01,0.03,0.04,0.01,0.04,0.25,0.08,0.04,2011,10,2011-10-01
1287,37,A862RY2,        Other equipment,2012_Q1,0.1,0.15,0.15,0.36,0.1,0.15,0.15,0.05,0.05,0.26,0.0,0.05,0.05,0.0,0.0412,0.36,0.26,0.21,2012,1,2012-01-01
1288,37,A862RY2,        Other equipment,2012_Q2,0.09,0.09,0.09,0.22,0.09,0.09,0.09,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0325,0.22,0.13,0.13,2012,4,2012-04-01
