,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
6246,A008RY2,Nonresidential investment,Computers and peripheral equipment,2004_Q1,0.12,0.08,0.08,0.08,-0.04,0.04,0.04,28.0,2004,1,2004-01-01
6247,A008RY2,Nonresidential investment,Industrial equipment,2004_Q1,0.07,0.07,0.07,0.07,0.0,0.0,0.0,28.0,2004,1,2004-01-01
6248,A008RY2,Nonresidential investment,Information processing equipment - other,2004_Q1,0.32,0.3,0.3,0.3,-0.02,0.02,0.02,28.0,2004,1,2004-01-01
6249,A008RY2,Nonresidential investment,Other equipment,2004_Q1,0.15,0.14,0.14,0.14,-0.01,0.01,0.01,28.0,2004,1,2004-01-01
6250,A008RY2,Nonresidential investment,Software \4\,2004_Q1,0.23,0.28,0.28,0.28,0.05,0.05,0.05,28.0,2004,1,2004-01-01
6251,A008RY2,Nonresidential investment,Structures,2004_Q1,-0.15,-0.18,0.18,0.18,-0.03,0.03,0.03,28.0,2004,1,2004-01-01
6252,A008RY2,Nonresidential investment,Transportation equipment,2004_Q1,-0.01,-0.15,0.15,0.15,-0.14,0.14,0.14,28.0,2004,1,2004-01-01
6253,A008RY2,Nonresidential investment,Computers and peripheral equipment,2004_Q2,0.22,0.22,0.22,0.22,0.0,0.0,0.0,28.0,2004,4,2004-04-01
6254,A008RY2,Nonresidential investment,Industrial equipment,2004_Q2,-0.02,0.03,0.03,0.03,0.05,0.05,0.05,28.0,2004,4,2004-04-01
6255,A008RY2,Nonresidential investment,Information processing equipment - other,2004_Q2,0.19,0.2,0.2,0.2,0.01,0.01,0.01,28.0,2004,4,2004-04-01
6256,A008RY2,Nonresidential investment,Other equipment,2004_Q2,0.12,0.2,0.2,0.2,0.08,0.08,0.08,28.0,2004,4,2004-04-01
6257,A008RY2,Nonresidential investment,Software \4\,2004_Q2,0.13,0.13,0.13,0.13,0.0,0.0,0.0,28.0,2004,4,2004-04-01
6258,A008RY2,Nonresidential investment,Structures,2004_Q2,0.12,0.16,0.16,0.16,0.04,0.04,0.04,28.0,2004,4,2004-04-01
6259,A008RY2,Nonresidential investment,Transportation equipment,2004_Q2,0.11,0.28,0.28,0.28,0.17,0.17,0.17,28.0,2004,4,2004-04-01
6260,A008RY2,Nonresidential investment,Computers and peripheral equipment,2004_Q3,0.08,0.18,0.18,0.18,0.1,0.1,0.1,28.0,2004,7,2004-07-01
6261,A008RY2,Nonresidential investment,Industrial equipment,2004_Q3,0.34,0.31,0.31,0.31,-0.03,0.03,0.03,28.0,2004,7,2004-07-01
6262,A008RY2,Nonresidential investment,Information processing equipment - other,2004_Q3,0.04,0.02,0.02,0.02,-0.02,0.02,0.02,28.0,2004,7,2004-07-01
6263,A008RY2,Nonresidential investment,Other equipment,2004_Q3,0.3,0.28,0.28,0.28,-0.02,0.02,0.02,28.0,2004,7,2004-07-01
6264,A008RY2,Nonresidential investment,Software \4\,2004_Q3,0.06,0.1,0.1,0.1,0.04,0.04,0.04,28.0,2004,7,2004-07-01
6265,A008RY2,Nonresidential investment,Structures,2004_Q3,0.03,-0.03,0.03,0.03,-0.06,0.06,0.06,28.0,2004,7,2004-07-01
6266,A008RY2,Nonresidential investment,Transportation equipment,2004_Q3,0.3,0.41,0.41,0.41,0.11,0.11,0.11,28.0,2004,7,2004-07-01
