,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
324,DDURRY2,Durable goods,Furniture and household equipment,2007_Q1,0.22,0.27,0.27,0.27,0.05,0.05,0.05,4.0,2007,1,2007-01-01
325,DDURRY2,Durable goods,Motor vehicles and parts,2007_Q1,0.36,0.38,0.38,0.38,0.02,0.02,0.02,4.0,2007,1,2007-01-01
326,DDURRY2,Durable goods,Other,2007_Q1,-0.01,0.03,0.03,0.03,0.04,0.04,0.04,4.0,2007,1,2007-01-01
327,DDURRY2,Durable goods,Furniture and household equipment,2007_Q2,0.09,0.13,0.13,0.13,0.04,0.04,0.04,4.0,2007,4,2007-04-01
328,DDURRY2,Durable goods,Motor vehicles and parts,2007_Q2,-0.02,-0.1,0.1,0.1,-0.08,0.08,0.08,4.0,2007,4,2007-04-01
329,DDURRY2,Durable goods,Other,2007_Q2,0.06,0.11,0.11,0.11,0.05,0.05,0.05,4.0,2007,4,2007-04-01
330,DDURRY2,Durable goods,Furniture and household equipment,2007_Q3,0.34,0.31,0.31,0.31,-0.03,0.03,0.03,4.0,2007,7,2007-07-01
331,DDURRY2,Durable goods,Motor vehicles and parts,2007_Q3,-0.18,-0.17,0.17,0.17,0.01,0.01,0.01,4.0,2007,7,2007-07-01
332,DDURRY2,Durable goods,Other,2007_Q3,0.18,0.2,0.2,0.2,0.02,0.02,0.02,4.0,2007,7,2007-07-01
333,DDURRY2,Durable goods,Furniture and household equipment,2007_Q4,0.23,0.13,0.13,0.13,-0.1,0.1,0.1,4.0,2007,10,2007-10-01
334,DDURRY2,Durable goods,Motor vehicles and parts,2007_Q4,0.1,0.09,0.09,0.09,-0.01,0.01,0.01,4.0,2007,10,2007-10-01
335,DDURRY2,Durable goods,Other,2007_Q4,-0.01,-0.06,0.06,0.06,-0.05,0.05,0.05,4.0,2007,10,2007-10-01
336,DDURRY2,Durable goods,Furniture and household equipment,2008_Q1,-0.03,0.03,0.03,0.03,0.06,0.06,0.06,4.0,2008,1,2008-01-01
337,DDURRY2,Durable goods,Motor vehicles and parts,2008_Q1,-0.37,-0.44,0.44,0.44,-0.07,0.07,0.07,4.0,2008,1,2008-01-01
338,DDURRY2,Durable goods,Other,2008_Q1,-0.08,-0.06,0.06,0.06,0.02,0.02,0.02,4.0,2008,1,2008-01-01
339,DDURRY2,Durable goods,Furniture and household equipment,2008_Q2,0.37,0.39,0.39,0.39,0.02,0.02,0.02,4.0,2008,4,2008-04-01
340,DDURRY2,Durable goods,Motor vehicles and parts,2008_Q2,-0.6,-0.64,0.64,0.64,-0.04,0.04,0.04,4.0,2008,4,2008-04-01
341,DDURRY2,Durable goods,Other,2008_Q2,0.0,0.04,0.04,0.04,0.04,0.04,0.04,4.0,2008,4,2008-04-01
342,DDURRY2,Durable goods,Furniture and household equipment,2008_Q3,-0.23,-0.25,0.25,0.25,-0.02,0.02,0.02,4.0,2008,7,2008-07-01
343,DDURRY2,Durable goods,Motor vehicles and parts,2008_Q3,-0.8,-0.83,0.83,0.83,-0.03,0.03,0.03,4.0,2008,7,2008-07-01
344,DDURRY2,Durable goods,Other,2008_Q3,-0.07,-0.08,0.08,0.08,-0.01,0.01,0.01,4.0,2008,7,2008-07-01
345,DDURRY2,Durable goods,Furniture and household equipment,2008_Q4,-0.27,-0.25,0.25,0.25,0.02,0.02,0.02,4.0,2008,10,2008-10-01
346,DDURRY2,Durable goods,Motor vehicles and parts,2008_Q4,-1.15,-1.13,1.13,1.13,0.02,0.02,0.02,4.0,2008,10,2008-10-01
347,DDURRY2,Durable goods,Other,2008_Q4,-0.29,-0.29,0.29,0.29,0.0,0.0,0.0,4.0,2008,10,2008-10-01
348,DDURRY2,Durable goods,Furniture and household equipment,2009_Q1,0.12,0.11,0.11,0.11,-0.01,0.01,0.01,4.0,2009,1,2009-01-01
349,DDURRY2,Durable goods,Motor vehicles and parts,2009_Q1,0.44,0.41,0.41,0.41,-0.03,0.03,0.03,4.0,2009,1,2009-01-01
350,DDURRY2,Durable goods,Other,2009_Q1,0.05,0.09,0.09,0.09,0.04,0.04,0.04,4.0,2009,1,2009-01-01
351,DDURRY2,Durable goods,Furnishings and durable household equipment,2009_Q2,-0.15,-0.15,0.15,0.15,0.0,0.0,0.0,4.0,2009,4,2009-04-01
