,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
8046,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2004_Q1,0.04,0.02,0.02,0.02,-0.02,0.02,0.02,61.0,2004,1,2004-01-01
8047,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2004_Q2,0.01,0.0,0.0,0.0,-0.01,0.01,0.01,61.0,2004,4,2004-04-01
8048,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2004_Q3,0.1,0.12,0.12,0.12,0.02,0.02,0.02,61.0,2004,7,2004-07-01
8049,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2004_Q4,0.12,0.11,0.11,0.11,-0.01,0.01,0.01,61.0,2004,10,2004-10-01
8050,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2005_Q1,0.06,0.04,0.04,0.04,-0.02,0.02,0.02,61.0,2005,1,2005-01-01
8051,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2005_Q2,0.08,0.08,0.08,0.08,0.0,0.0,0.0,61.0,2005,4,2005-04-01
8052,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2005_Q3,0.18,0.17,0.17,0.17,-0.01,0.01,0.01,61.0,2005,7,2005-07-01
8053,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2005_Q4,0.09,0.09,0.09,0.09,0.0,0.0,0.0,61.0,2005,10,2005-10-01
8054,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2006_Q1,0.13,0.12,0.12,0.12,-0.01,0.01,0.01,61.0,2006,1,2006-01-01
8055,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2006_Q2,0.22,0.2,0.2,0.2,-0.02,0.02,0.02,61.0,2006,4,2006-04-01
8056,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2006_Q3,0.25,0.3,0.3,0.3,0.05,0.05,0.05,61.0,2006,7,2006-07-01
8057,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2006_Q4,0.33,0.33,0.33,0.33,0.0,0.0,0.0,61.0,2006,10,2006-10-01
8058,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2007_Q1,0.25,0.26,0.26,0.26,0.01,0.01,0.01,61.0,2007,1,2007-01-01
8059,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2007_Q2,0.23,0.19,0.19,0.19,-0.04,0.04,0.04,61.0,2007,4,2007-04-01
8060,A991RY2,State and local - consumption expenditures - A991RY2,State and local - consumption expenditures,2007_Q3,0.14,0.13,0.13,0.13,-0.01,0.01,0.01,61.0,2007,7,2007-07-01
