,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
527,Y033RY2,Equipment,Industrial equipment,2005_Q4,0.13,0.16,0.16,0.16,0.03,0.03,0.03,30.0,2005,10,2005-10-01
528,Y033RY2,Equipment,Information processing equipment - other,2005_Q4,-0.05,-0.06,0.06,0.06,-0.01,0.01,0.01,30.0,2005,10,2005-10-01
529,Y033RY2,Equipment,Other equipment,2005_Q4,0.07,0.1,0.1,0.1,0.03,0.03,0.03,30.0,2005,10,2005-10-01
530,Y033RY2,Equipment,Transportation equipment,2005_Q4,-0.27,-0.19,0.19,0.19,0.08,0.08,0.08,30.0,2005,10,2005-10-01
531,Y033RY2,Equipment,Computers and peripheral equipment,2006_Q1,0.12,0.14,0.14,0.14,0.02,0.02,0.02,30.0,2006,1,2006-01-01
532,Y033RY2,Equipment,Industrial equipment,2006_Q1,0.12,-0.04,0.04,0.04,-0.16,0.16,0.16,30.0,2006,1,2006-01-01
533,Y033RY2,Equipment,Information processing equipment - other,2006_Q1,0.34,0.46,0.46,0.46,0.12,0.12,0.12,30.0,2006,1,2006-01-01
534,Y033RY2,Equipment,Other equipment,2006_Q1,0.1,0.05,0.05,0.05,-0.05,0.05,0.05,30.0,2006,1,2006-01-01
535,Y033RY2,Equipment,Transportation equipment,2006_Q1,0.47,0.38,0.38,0.38,-0.09,0.09,0.09,30.0,2006,1,2006-01-01
536,Y033RY2,Equipment,Computers and peripheral equipment,2006_Q2,0.04,0.03,0.03,0.03,-0.01,0.01,0.01,30.0,2006,4,2006-04-01
537,Y033RY2,Equipment,Industrial equipment,2006_Q2,0.19,0.16,0.16,0.16,-0.03,0.03,0.03,30.0,2006,4,2006-04-01
538,Y033RY2,Equipment,Information processing equipment - other,2006_Q2,-0.16,-0.14,0.14,0.14,0.02,0.02,0.02,30.0,2006,4,2006-04-01
539,Y033RY2,Equipment,Other equipment,2006_Q2,0.13,0.09,0.09,0.09,-0.04,0.04,0.04,30.0,2006,4,2006-04-01
540,Y033RY2,Equipment,Transportation equipment,2006_Q2,-0.3,-0.32,0.32,0.32,-0.02,0.02,0.02,30.0,2006,4,2006-04-01
541,Y033RY2,Equipment,Computers and peripheral equipment,2006_Q3,0.14,0.13,0.13,0.13,-0.01,0.01,0.01,30.0,2006,7,2006-07-01
542,Y033RY2,Equipment,Industrial equipment,2006_Q3,0.04,0.0,0.0,0.0,-0.04,0.04,0.04,30.0,2006,7,2006-07-01
543,Y033RY2,Equipment,Information processing equipment - other,2006_Q3,0.04,0.13,0.13,0.13,0.09,0.09,0.09,30.0,2006,7,2006-07-01
