,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
6093,DNDGRY2,Nondurable goods,Other,2006_Q2,0.21,0.19,0.19,0.19,-0.02,0.02,0.02,9.0,2006,4,2006-04-01
6094,DNDGRY2,Nondurable goods,Clothing and shoes,2006_Q3,0.15,0.15,0.15,0.15,0.0,0.0,0.0,9.0,2006,7,2006-07-01
6095,DNDGRY2,Nondurable goods,Food,2006_Q3,-0.06,-0.07,0.07,0.07,-0.01,0.01,0.01,9.0,2006,7,2006-07-01
6096,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2006_Q3,0.11,0.14,0.14,0.14,0.03,0.03,0.03,9.0,2006,7,2006-07-01
6097,DNDGRY2,Nondurable goods,Other,2006_Q3,0.13,0.11,0.11,0.11,-0.02,0.02,0.02,9.0,2006,7,2006-07-01
6098,DNDGRY2,Nondurable goods,Clothing and shoes,2006_Q4,0.19,0.18,0.18,0.18,-0.01,0.01,0.01,9.0,2006,10,2006-10-01
6099,DNDGRY2,Nondurable goods,Food,2006_Q4,0.69,0.62,0.62,0.62,-0.07,0.07,0.07,9.0,2006,10,2006-10-01
6100,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2006_Q4,0.09,0.03,0.03,0.03,-0.06,0.06,0.06,9.0,2006,10,2006-10-01
6101,DNDGRY2,Nondurable goods,Other,2006_Q4,0.41,0.35,0.35,0.35,-0.06,0.06,0.06,9.0,2006,10,2006-10-01
6102,DNDGRY2,Nondurable goods,Clothing and shoes,2007_Q1,0.18,0.21,0.21,0.21,0.03,0.03,0.03,9.0,2007,1,2007-01-01
6103,DNDGRY2,Nondurable goods,Food,2007_Q1,0.08,0.14,0.14,0.14,0.06,0.06,0.06,9.0,2007,1,2007-01-01
6104,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2007_Q1,0.21,0.14,0.14,0.14,-0.07,0.07,0.07,9.0,2007,1,2007-01-01
6105,DNDGRY2,Nondurable goods,Other,2007_Q1,0.12,0.17,0.17,0.17,0.05,0.05,0.05,9.0,2007,1,2007-01-01
6106,DNDGRY2,Nondurable goods,Clothing and shoes,2007_Q2,0.05,0.06,0.06,0.06,0.01,0.01,0.01,9.0,2007,4,2007-04-01
6107,DNDGRY2,Nondurable goods,Food,2007_Q2,-0.2,-0.14,0.14,0.14,0.06,0.06,0.06,9.0,2007,4,2007-04-01
6108,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2007_Q2,-0.06,-0.12,0.12,0.12,-0.06,0.06,0.06,9.0,2007,4,2007-04-01
6109,DNDGRY2,Nondurable goods,Other,2007_Q2,0.05,0.1,0.1,0.1,0.05,0.05,0.05,9.0,2007,4,2007-04-01
6110,DNDGRY2,Nondurable goods,Clothing and shoes,2007_Q3,0.2,0.17,0.17,0.17,-0.03,0.03,0.03,9.0,2007,7,2007-07-01
6111,DNDGRY2,Nondurable goods,Food,2007_Q3,0.17,0.13,0.13,0.13,-0.04,0.04,0.04,9.0,2007,7,2007-07-01
6112,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2007_Q3,-0.01,-0.02,0.02,0.02,-0.01,0.01,0.01,9.0,2007,7,2007-07-01
6113,DNDGRY2,Nondurable goods,Other,2007_Q3,0.19,0.18,0.18,0.18,-0.01,0.01,0.01,9.0,2007,7,2007-07-01
6114,DNDGRY2,Nondurable goods,Clothing and shoes,2007_Q4,-0.06,-0.1,0.1,0.1,-0.04,0.04,0.04,9.0,2007,10,2007-10-01
6115,DNDGRY2,Nondurable goods,Food,2007_Q4,0.42,0.39,0.39,0.39,-0.03,0.03,0.03,9.0,2007,10,2007-10-01
6116,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2007_Q4,-0.01,-0.04,0.04,0.04,-0.03,0.03,0.03,9.0,2007,10,2007-10-01
6117,DNDGRY2,Nondurable goods,Other,2007_Q4,0.02,-0.01,0.01,0.01,-0.03,0.03,0.03,9.0,2007,10,2007-10-01
6118,DNDGRY2,Nondurable goods,Clothing and shoes,2008_Q1,0.02,0.05,0.05,0.05,0.03,0.03,0.03,9.0,2008,1,2008-01-01
6119,DNDGRY2,Nondurable goods,Food,2008_Q1,-0.05,0.15,0.15,0.15,0.2,0.2,0.2,9.0,2008,1,2008-01-01
