,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
2620,A009RY2,Structures - A009RY2,2004_Q1,-0.15,-0.18,0.18,0.18,-0.03,0.03,0.03,29.0,2004,1,2004-01-01
2621,A009RY2,Structures - A009RY2,2004_Q2,0.12,0.16,0.16,0.16,0.04,0.04,0.04,29.0,2004,4,2004-04-01
2622,A009RY2,Structures - A009RY2,2004_Q3,0.03,-0.03,0.03,0.03,-0.06,0.06,0.06,29.0,2004,7,2004-07-01
2623,A009RY2,Structures - A009RY2,2004_Q4,-0.1,0.05,0.05,0.05,0.15,0.15,0.15,29.0,2004,10,2004-10-01
2624,A009RY2,Structures - A009RY2,2005_Q1,-0.06,-0.06,0.06,0.06,0.0,0.0,0.0,29.0,2005,1,2005-01-01
2625,A009RY2,Structures - A009RY2,2005_Q2,0.08,0.07,0.07,0.07,-0.01,0.01,0.01,29.0,2005,4,2005-04-01
2626,A009RY2,Structures - A009RY2,2005_Q3,-0.04,0.06,0.06,0.06,0.1,0.1,0.1,29.0,2005,7,2005-07-01
2627,A009RY2,Structures - A009RY2,2005_Q4,0.02,0.09,0.09,0.09,0.07,0.07,0.07,29.0,2005,10,2005-10-01
2628,A009RY2,Structures - A009RY2,2006_Q1,0.24,0.34,0.34,0.34,0.1,0.1,0.1,29.0,2006,1,2006-01-01
2629,A009RY2,Structures - A009RY2,2006_Q2,0.36,0.56,0.56,0.56,0.2,0.2,0.2,29.0,2006,4,2006-04-01
2630,A009RY2,Structures - A009RY2,2006_Q3,0.41,0.46,0.46,0.46,0.05,0.05,0.05,29.0,2006,7,2006-07-01
2631,A009RY2,Structures - A009RY2,2006_Q4,0.09,0.03,0.03,0.03,-0.06,0.06,0.06,29.0,2006,10,2006-10-01
2632,A009RY2,Structures - A009RY2,2007_Q1,0.07,0.15,0.15,0.15,0.08,0.08,0.08,29.0,2007,1,2007-01-01
2633,A009RY2,Structures - A009RY2,2007_Q2,0.66,0.78,0.78,0.78,0.12,0.12,0.12,29.0,2007,4,2007-04-01
2634,A009RY2,Structures - A009RY2,2007_Q3,0.4,0.52,0.52,0.52,0.12,0.12,0.12,29.0,2007,7,2007-07-01
2635,A009RY2,Structures - A009RY2,2007_Q4,0.52,0.41,0.41,0.41,-0.11,0.11,0.11,29.0,2007,10,2007-10-01
2636,A009RY2,Structures - A009RY2,2008_Q1,-0.23,0.04,0.04,0.04,0.27,0.27,0.27,29.0,2008,1,2008-01-01
2637,A009RY2,Structures - A009RY2,2008_Q2,0.51,0.64,0.64,0.64,0.13,0.13,0.13,29.0,2008,4,2008-04-01
2638,A009RY2,Structures - A009RY2,2008_Q3,0.3,0.36,0.36,0.36,0.06,0.06,0.06,29.0,2008,7,2008-07-01
2639,A009RY2,Structures - A009RY2,2008_Q4,-0.07,-0.38,0.38,0.38,-0.31,0.31,0.31,29.0,2008,10,2008-10-01
2640,A009RY2,Structures - A009RY2,2009_Q1,-2.13,-2.05,2.05,2.05,0.08,0.08,0.08,29.0,2009,1,2009-01-01
2641,A009RY2,Structures - A009RY2,2009_Q2,-0.34,-0.69,0.69,0.69,-0.35,0.35,0.35,29.0,2009,4,2009-04-01
2642,A009RY2,Structures - A009RY2,2009_Q3,-0.32,-0.68,0.68,0.68,-0.36,0.36,0.36,29.0,2009,7,2009-07-01
2643,A009RY2,Structures - A009RY2,2009_Q4,-0.52,-0.62,0.62,0.62,-0.1,0.1,0.1,29.0,2009,10,2009-10-01
2644,A009RY2,Structures - A009RY2,2010_Q1,-0.44,-0.49,0.49,0.49,-0.05,0.05,0.05,29.0,2010,1,2010-01-01
2645,A009RY2,Structures - A009RY2,2010_Q2,0.14,-0.01,0.01,0.01,-0.15,0.15,0.15,29.0,2010,4,2010-04-01
2646,A009RY2,Structures - A009RY2,2010_Q3,0.1,-0.09,0.09,0.09,-0.19,0.19,0.19,29.0,2010,7,2010-07-01
2647,A009RY2,Structures - A009RY2,2010_Q4,0.02,0.19,0.19,0.19,0.17,0.17,0.17,29.0,2010,10,2010-10-01
