,date,est,date_pub
15,2014_Q3,THIRD,12/23/2014
14,2014_Q4,ADVANCE,1/30/2015
13,2014_Q4,SECOND,2/27/2015
12,2014_Q4,THIRD,3/27/2015
11,2015_Q1,ADVANCE,4/29/2015
10,2015_Q1,SECOND,5/29/2015
9,2015_Q1,THIRD,6/24/2015
8,2015_Q2,ADVANCE,7/30/2015
7,2015_Q2,SECOND,8/27/2015
6,2015_Q2,THIRD,9/25/2015
5,2015_Q3,ADVANCE,10/29/2015
4,2015_Q3,SECOND,11/24/2015
3,2015_Q3,THIRD,12/22/2015
2,2015_Q4,ADVANCE,1/29/2016
1,2015_Q4,SECOND,2/26/2016
0,2015_Q4,THIRD,3/25/2016
