,line,code,description,date,ADVANCE,SECOND,THIRD,adv_less_second,adv_less_third,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,current,abs_adv_less_current,abs_third_less_current
1122,33,B985RY2,        Software \4\,2011_Q1,0.18,0.25,0.06,-0.07,0.12,0.19,0.07,0.12,0.19,0.11999999999999995,0.14,0.03999999999999998,0.08000000000000002
1179,33,B985RY2,        Software \4\,2011_Q2,0.16,0.22,0.14,-0.06,0.01999999999999999,0.07999999999999999,0.06,0.01999999999999999,0.07999999999999999,0.09249999999999996,0.16,0.0,0.01999999999999999
1236,33,B985RY2,        Software \4\,2011_Q3,0.12,0.1,0.14,0.01999999999999999,-0.020000000000000018,-0.04000000000000001,0.01999999999999999,0.020000000000000018,0.04000000000000001,0.08749999999999997,0.17,0.05000000000000002,0.03
1293,33,B985RY2,        Software \4\,2011_Q4,0.1,-0.02,0.17,0.12000000000000001,-0.07,-0.19,0.12000000000000001,0.07,0.19,0.06249999999999998,0.15,0.04999999999999999,0.020000000000000018
1350,33,B985RY2,        Software \4\,2012_Q1,0.16,0.11,0.08,0.05,0.08,0.03,0.05,0.08,0.03,0.04999999999999998,0.03,0.13,0.05
1407,33,B985RY2,        Software \4\,2012_Q2,0.12,0.1,0.11,0.01999999999999999,0.009999999999999995,-0.009999999999999995,0.01999999999999999,0.009999999999999995,0.009999999999999995,0.04874999999999999,0.1,0.01999999999999999,0.009999999999999995
1464,33,B985RY2,        Software \4\,2012_Q3,0.12,0.05,0.07,0.06999999999999999,0.04999999999999999,-0.020000000000000004,0.06999999999999999,0.04999999999999999,0.020000000000000004,0.05249999999999999,0.0,0.12,0.07
1521,33,B985RY2,        Software \4\,2012_Q4,0.15,0.15,0.16,0.0,-0.010000000000000009,-0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.047499999999999994,0.12,0.03,0.04000000000000001
1578,33,B985RY2,        Software \4\,2013_Q1,0.05,0.17,0.11,-0.12000000000000001,-0.06,0.06000000000000001,0.12000000000000001,0.06,0.06000000000000001,0.039999999999999994,0.13,0.08,0.020000000000000004
1642,38,B985RY2,        Software \4\,2013_Q2,0.07,-0.03,-0.11,0.1,0.18,0.08,0.1,0.18,0.08,0.06,-0.15,0.22,0.039999999999999994
