,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
705,24,A009RY2,      Structures,2004_Q1,-0.15,-0.17,-0.18,-0.21,0.02,0.03,0.06,0.01,0.02,0.03,0.01,0.03,0.21,0.06,0.03,2004,1,2004-01-01
706,24,A009RY2,      Structures,2004_Q2,0.12,0.16,0.16,0.05,-0.04,-0.04,0.07,0.0,0.04,0.04,0.0,0.04,0.05,0.07,0.11,2004,4,2004-04-01
707,24,A009RY2,      Structures,2004_Q3,0.03,-0.01,-0.03,0.15,0.04,0.06,-0.12,0.02,0.04,0.06,0.02,0.04,0.15,0.12,0.18,2004,7,2004-07-01
708,24,A009RY2,      Structures,2004_Q4,-0.1,0.03,0.05,0.0,-0.13,-0.15,-0.1,-0.02,0.13,0.15,0.02,0.07,0.0,0.1,0.05,2004,10,2004-10-01
709,24,A009RY2,      Structures,2005_Q1,-0.06,-0.08,-0.06,0.13,0.02,0.0,-0.19,-0.02,0.02,0.0,0.02,0.06,0.13,0.19,0.19,2005,1,2005-01-01
710,24,A009RY2,      Structures,2005_Q2,0.08,0.07,0.07,-0.05,0.01,0.01,0.13,0.0,0.01,0.01,0.0,0.05,0.05,0.13,0.12,2005,4,2005-04-01
711,24,A009RY2,      Structures,2005_Q3,-0.04,0.07,0.06,-0.06,-0.11,-0.1,0.02,0.01,0.11,0.1,0.01,0.06,0.06,0.02,0.12,2005,7,2005-07-01
712,24,A009RY2,      Structures,2005_Q4,0.02,0.09,0.09,0.09,-0.07,-0.07,-0.07,0.0,0.07,0.07,0.0,0.06,0.09,0.07,0.0,2005,10,2005-10-01
713,24,A009RY2,      Structures,2006_Q1,0.24,0.31,0.34,0.4,-0.07,-0.1,-0.16,-0.03,0.07,0.1,0.03,0.07,0.4,0.16,0.06,2006,1,2006-01-01
714,24,A009RY2,      Structures,2006_Q2,0.36,0.6,0.56,0.34,-0.24,-0.2,0.02,0.04,0.24,0.2,0.04,0.09,0.34,0.02,0.22,2006,4,2006-04-01
715,24,A009RY2,      Structures,2006_Q3,0.41,0.49,0.46,0.21,-0.08,-0.05,0.2,0.03,0.08,0.05,0.03,0.08,0.21,0.2,0.25,2006,7,2006-07-01
716,24,A009RY2,      Structures,2006_Q4,0.09,-0.03,0.03,-0.01,0.12,0.06,0.1,-0.06,0.12,0.06,0.06,0.07,0.01,0.1,0.04,2006,10,2006-10-01
717,24,A009RY2,      Structures,2007_Q1,0.07,0.16,0.15,0.45,-0.09,-0.08,-0.38,0.01,0.09,0.08,0.01,0.08,0.45,0.38,0.3,2007,1,2007-01-01
718,24,A009RY2,      Structures,2007_Q2,0.66,0.82,0.78,0.7,-0.16,-0.12,-0.04,0.04,0.16,0.12,0.04,0.1,0.7,0.04,0.08,2007,4,2007-04-01
719,24,A009RY2,      Structures,2007_Q3,0.4,0.46,0.52,0.63,-0.06,-0.12,-0.23,-0.06,0.06,0.12,0.06,0.1,0.63,0.23,0.11,2007,7,2007-07-01
720,24,A009RY2,      Structures,2007_Q4,0.52,0.48,0.41,0.34,0.04,0.11,0.18,0.07,0.04,0.11,0.07,0.1,0.34,0.18,0.07,2007,10,2007-10-01
721,24,A009RY2,      Structures,2008_Q1,-0.23,0.04,0.04,0.06,-0.27,-0.27,-0.29,0.0,0.27,0.27,0.0,0.13,0.06,0.29,0.02,2008,1,2008-01-01
722,24,A009RY2,      Structures,2008_Q2,0.51,0.48,0.64,0.24,0.03,-0.13,0.27,-0.16,0.03,0.13,0.16,0.12,0.24,0.27,0.4,2008,4,2008-04-01
